iter	Passed	Remaining
0	3	3854
1	7	3690
2	11	3764
3	14	3710
4	18	3759
5	22	3737
6	26	3774
7	31	3852
8	35	3863
9	39	3908
10	43	3870
11	47	3888
12	51	3906
13	55	3907
14	59	3897
15	62	3864
16	66	3841
17	69	3803
18	73	3771
19	76	3728
20	79	3702
21	82	3678
22	86	3657
23	89	3637
24	92	3611
25	95	3587
26	98	3563
27	102	3544
28	105	3523
29	108	3505
30	111	3487
31	114	3464
32	117	3448
33	120	3434
34	124	3419
35	127	3401
36	130	3393
37	133	3378
38	136	3371
39	141	3384
40	145	3396
41	148	3396
42	152	3394
43	156	3403
44	160	3402
45	163	3396
46	167	3397
47	171	3396
48	174	3395
49	178	3390
50	182	3390
51	186	3395
52	189	3394
53	193	3389
54	197	3391
55	200	3387
56	204	3388
57	207	3377
58	211	3372
59	215	3369
60	218	3364
61	222	3361
62	225	3361
63	229	3356
64	233	3355
65	236	3350
66	240	3344
67	243	3343
68	247	3343
69	251	3344
70	255	3344
71	259	3349
72	264	3354
73	267	3353
74	271	3351
75	275	3353
76	279	3349
77	282	3344
78	286	3342
79	290	3337
80	294	3337
81	297	3334
82	301	3330
83	305	3327
84	308	3322
85	312	3319
86	315	3315
87	319	3311
88	323	3310
89	327	3310
90	331	3316
91	335	3316
92	339	3315
93	343	3314
94	347	3311
95	351	3313
96	356	3316
97	360	3316
98	364	3316
99	368	3316
100	372	3314
101	376	3313
102	380	3311
103	383	3307
104	387	3305
105	391	3300
106	394	3296
107	398	3290
108	402	3287
109	405	3284
110	409	3280
111	413	3276
112	417	3273
113	421	3272
114	424	3266
115	427	3261
116	431	3257
117	435	3253
118	438	3248
119	442	3246
120	446	3246
121	451	3246
122	454	3242
123	458	3238
124	462	3234
125	465	3230
126	469	3226
127	472	3221
128	476	3218
129	480	3214
130	484	3211
131	487	3206
132	491	3203
133	494	3198
134	498	3193
135	502	3189
136	505	3186
137	509	3183
138	513	3183
139	517	3180
140	521	3176
141	525	3172
142	529	3171
143	532	3167
144	536	3165
145	540	3160
146	543	3155
147	547	3151
148	551	3147
149	554	3144
150	558	3140
151	562	3135
152	565	3132
153	569	3129
154	573	3125
155	576	3121
156	580	3116
157	583	3110
158	587	3105
159	590	3099
160	593	3094
161	597	3090
162	601	3086
163	604	3080
164	607	3076
165	611	3071
166	614	3066
167	618	3062
168	621	3057
169	625	3053
170	628	3049
171	632	3043
172	635	3038
173	639	3033
174	642	3028
175	645	3023
176	649	3019
177	652	3015
178	656	3009
179	660	3007
180	664	3005
181	668	3002
182	672	3000
183	675	2997
184	679	2992
185	682	2988
186	686	2984
187	690	2980
188	693	2975
189	696	2970
190	700	2966
191	704	2964
192	707	2960
193	711	2954
194	714	2951
